#{"t_start": 1607029383.054191, "env_id": null}
r,l,t
1.071429,4,98.052555
1.190476,9,98.096239
1.095238,5,98.121736
1.071429,4,98.141825
-9.690476,14,98.210339
1.238095,11,98.263899
-0.714286,13,98.50043
1.285714,13,98.566932
-9.690476,14,98.630542
1.166667,8,98.670005
-9.666667,15,98.738117
1.166667,8,98.779827
-0.928571,4,98.801796
1.214286,10,98.849132
1.238095,11,98.899345
-0.857143,7,98.93518
-9.690476,14,98.999163
-0.785714,10,99.047731
1.071429,4,99.068863
1.261905,12,99.127962
1.285714,13,99.188747
1.166667,8,99.229993
-9.595238,18,99.312351
-9.785714,10,99.356544
1.119048,6,99.385091
-0.880952,6,99.415814
-9.809524,9,99.455654
-0.833333,8,99.494772
-9.785714,10,99.539002
1.261905,12,99.594531
1.142857,7,99.626855
-0.714286,13,99.835056
-0.714286,13,99.89743
-9.761905,11,99.950351
1.142857,7,99.984254
-9.738095,12,100.04151
1.285714,13,100.104149
-9.642857,16,100.178018
-0.714286,13,100.239628
1.142857,7,100.274756
1.261905,12,100.333124
-0.857143,7,100.36696
-9.690476,14,100.429967
-9.809524,9,100.471931
-0.690476,14,100.535897
1.214286,10,100.583314
1.285714,13,100.64138
-0.833333,8,100.681293
1.119048,6,100.710536
1.238095,11,100.76401
1.095238,5,100.788942
1.238095,11,100.84256
-0.785714,10,100.889728
-0.785714,10,100.937278
1.142857,7,100.970802
-0.761905,11,101.027668
1.166667,8,101.236518
-0.785714,10,101.285033
-0.833333,8,101.323543
1.119048,6,101.353636
1.142857,7,101.386121
1.214286,10,101.431787
1.142857,7,101.466421
-0.809524,9,101.508702
1.309524,14,101.571253
1.214286,10,101.617043
-9.833333,8,101.653132
-0.666667,15,101.72173
1.071429,4,101.741998
-0.809524,9,101.785785
-0.833333,8,101.824215
-0.761905,11,101.876838
-0.714286,13,101.936662
-0.809524,9,101.980681
-0.761905,11,102.030171
1.095238,5,102.054009
-0.809524,9,102.097677
1.214286,10,102.147011
1.261905,12,102.20309
-0.857143,7,102.240309
1.238095,11,102.292119
1.119048,6,102.320733
-0.785714,10,102.36817
1.166667,8,102.404276
-0.714286,13,102.612341
1.095238,5,102.63678
-0.809524,9,102.679739
1.214286,10,102.723871
1.214286,10,102.768486
1.119048,6,102.79851
1.095238,5,102.824268
1.119048,6,102.854257
-9.738095,12,102.910514
1.238095,11,102.961765
-9.714286,13,103.020453
-0.809524,9,103.065844
-9.738095,12,103.122255
1.238095,11,103.175372
-9.666667,15,103.245172
1.309524,14,103.314136
-9.761905,11,103.365284
1.095238,5,103.390647
1.309524,14,103.453312
-9.666667,15,103.519612
-0.714286,13,103.578189
-0.761905,11,103.62817
-9.785714,10,103.672487
1.238095,11,103.723226
1.071429,4,103.744776
1.214286,10,103.952508
1.190476,9,103.99431
1.071429,4,104.014251
1.166667,8,104.052304
-0.785714,10,104.101076
1.238095,11,104.151772
1.095238,5,104.177099
1.190476,9,104.218645
1.261905,12,104.277635
1.142857,7,104.310932
-0.833333,8,104.349822
1.142857,7,104.385157
-0.785714,10,104.434054
-0.690476,14,104.498671
1.166667,8,104.536807
1.261905,12,104.595315
1.238095,11,104.647197
1.166667,8,104.68571
-9.738095,12,104.744268
1.142857,7,104.782483
1.142857,7,104.817008
1.119048,6,104.846099
-0.928571,4,104.867758
1.380952,17,104.947171
1.142857,7,104.981563
-0.809524,9,105.027241
1.261905,12,105.086323
1.095238,5,105.11354
-9.880952,6,105.142335
1.166667,8,105.354539
-0.690476,14,105.419945
-0.738095,12,105.474854
1.261905,12,105.52872
-9.761905,11,105.578339
